,SW.ID,SearchID,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,Abstract,Language,Document.Type,Open.Access,Database,Exclusion.Criteria,Region,Scale...Spatial..m.,Scale...Temporal,Resolution...Spatial..m.,Resolution...Temporal,Sampling.Method.used.for.data.collection,Analytical.method.used.for.inference,Quality...Spatial..relative.1.3.,Quality...Temporal,Quality...Methods,Concluding.statement.or.quotable.quote,Comments,Species,Life.stage,Environmental.Drivers.,Process,Metric,Direction.of.relationship,Strength.of.relationships,Additional.info.about.response,Driverscategory
1431,b3_sco.813,NA,"Jacobsson A., Neuman E.",Fish recruitment around a petrochemical centre in the North Sea,1991,Marine Pollution Bulletin,22,6,269,272,10.1016/0025-326X(91)90803-Z,NA,"The recruitment of two fish species with different recruitment strategies was studied in a Swedish fjord receiving waste-water from petrochemical industries. Plaice spawn far from the fjord and migrate into it after the larval stage. Viviparous blenny is stationary during its entire life, and the fry develops within the mother for 4-6 months, which enables studies of individual reproductive success. Low abundance and large mean size of both species in the effluent area compared with more distant localities indicate that the recruitment was impaired. A high mortality of blenny fry supports the conclusion. Serious effects occurred along at least 6 km of the coast. © 1991.",English,Article,,Scopus,K,Baltic Sea - CS,0-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purchase paper, so I could not get my hands on it, therefore several fields that I was not able to fill in",Pleuronectes platessa,juveniles,Contaminants & Pollution,Abundance,NA,Overall negative response,NA,NA,ABIOTIC ANTHROPIC
1432,b3_sco.833,NA,Aneer G.,Some speculations about the Baltic herring ( Clupea harengus membras) in connection with the eutrophication of the Baltic Sea.,1985,Canadian Journal of Fisheries and Aquatic Sciences,42,1,83,90,10.1139/f85-264,NA,"Argues that Baltic herring spawning time, spring or autumn, is determined by feeding conditions during the adult phase and thus not genetically fixed. The present 'absence' of autumn spawners is thought to be the result of improved feeding conditions during the latest decades as a result of the eutrophication of the Baltic Sea. During 2 spawning ground studies carried out in 1978 and 1982 unusually high mortality rates were noted for eggs in situ. In 1982, during 4 wk close to peak of spawning, the mortality increased substantially, especially for eggs among filamentous algae. A significant difference was noted between eggs on coarser algae and those among filamentous algae. During this period the average mortalities were 33 and 75%, respectively. Very low levels of oxygen were measured at night among the filamentous algae. An increase in the amounts of this type of algae as a response to the eutrophication might constitute a new hazard to the reproductive success of the Baltic herring. -from Author",English,Article,,Scopus,K,Baltic Sea - CS,0-5,two year,NA,NA,Visual Analyses of Quadrats/Transects,quantification of mortality rates and relating this to covarege of filamentous algae and oxygen,2,2,3,An increase in the amounts of this type of algae as a response to the eutrophication might constitute a new hazard to the reproductive success of the Baltic herring.,"I find U, V, and W difficult to answer",Clupea harengus,"early life stages (eggs, larvae)",Oxygen,Survival,meaurements of increases in mortality rates,Overall negative response,Large,NA,CLIMATE & OCEANOGRAPHY
1433,b3_sco.843,NA,"Von Westernhagen H., Rosenthal H., Dethlefsen V., Ernst W., Harms U., -Hansen P.D.",Bioaccumulating substances and reproductive success in baltic flounder platichthys flesus,1981,Aquatic Toxicology,1,2,85,99,10.1016/0166-445X(81)90032-1,NA,"Running ripe Baltic flounder Piatichthys flesus were caught with a bottom trawli. Eggs were stripped and artificially inseminated and incubated in Baltic sea water at 6.8 °C and a salinity of 27.5% After hatching, siraight and viable appearing larvae - viable hatch - were determined. Ovary and liver samples of the female parental fish were collected and analyzed for chlorinated hydrocarbons and heavy metals. Viable hatch was significantly affected at ovary chlorinated hiphenyl (PCB) levels higher than 120 ng/g wet weight. Thus 120 ng/g PCB was designated a threshold level in flounder eggs. above which reduced survival of developing eggs and larvas can be expected. Other chlorinated hydrocaihons. and metals did not show any correlation between ovary and/or liver contamination levels and viable hatch. The melhod employed is deemed to be a promising tool for the assessment of pollution effects on marine biola. © 1981.",English,Article,,Scopus,K,Baltic Sea - CS,0-5,month,NA,NA,NA,NA,NA,NA,NA,NA,"Purchase paper, so I could not get my hands on it, therefore several fields that I was not able to fill in; could not fin right answer for X",Platichthys flesus,"early life stages (eggs, larvae)",Contaminants & Pollution,Survival,meaurements of increases in mortality rates,Mixed response,NA,NA,ABIOTIC ANTHROPIC
1434,m3_sco.180,NA,"Abella A., Fiorentino F., Mannini A., Orsi Relini L.",Exploring relationships between recruitment of European hake (Merluccius merluccius L. 1758) and environmental factors in the Ligurian Sea and the Strait of Sicily (Central Mediterranean),2008,Journal of Marine Systems,71,3-Apr,279,293,10.1016/j.jmarsys.2007.05.010,NA,"This paper explores the relationships between the spatial patterns of the distribution of the young hakes of the year (YOY) and the oceanographical features in two areas of the Central Mediterranean (the Ligurian Sea and the Strait of Sicily), characterised by the occurrence of straits and channels. Comparative and correlative approaches were used to investigate coupling between biological and physical patterns. Density indices of the YOY were derived from annual trawl surveys from 1994 to 2004 in spring and autumn. Mean patterns of the YOY distributions were compared with the mesoscale oceanographical features reported in literature. No evident trends in recruitment strength were found in either areas. Inter-annual variability in YOY abundance in the Ligurian Sea was higher than in the Strait of Sicily. The location of nursery grounds in the study areas coincides with zones of relatively higher production, where upwelling and other enrichment processes regularly occur. The presence of predictable eddies and the frontal systems play a major role in the localization of nursery areas in the Strait of Sicily, maintaining their stable position throughout the years. The strongest transport of southern waters from the Tyrrhenian to the Ligurian Sea, due to the East Corsica Current, which is negatively correlated to winter North Atlantic Oscillation, is associated with the highest abundance of hake recruits in the nurseries of the Northern Ligurian Sea. © 2007 Elsevier B.V. All rights reserved.",English,Article,,Scopus,K,Mediterranean - non CS,"1,000-5,000",decade,Oct-50,year,Regular Fisheries Independent Survey,simple time-series correlation between things like NAO and Hake catches in survey,2,2,3,"The strongest transport of southern waters from the Tyrrhenian to the Ligurian Sea, due to the East Corsica Current, which is negatively correlated to winter NAO, is associated to the high abundance of hakerecruits in the nurseries of the Northern Ligurian Sea",NA,Merluccius merluccius,juveniles,Hydrodynamics & winds,Reproduction,density of YOY hake vs. NAO,Overall negative response,Small,NA,CLIMATE & OCEANOGRAPHY
1436,m3_sco.45,NA,"Ordines F., Lloret J., Tugores P., Manfredi C., Guijarro B., Jadaud A., Porcu C., de Sola L.G., Carlucci R., Sartini M., Isajlović I., Massutí E.",A new approach to recruitment overfishing diagnosis based on fish condition from survey data [Una nueva aproximación al diagnóstico de la sobrepesca de reclutamiento basada en la condición de los recursos a partir de datos de campaña],2019,Scientia Marina,83,S1,223,233,10.3989/scimar.04950.03A,NA,"A new approach to recruitment overfishing diagnosis is presented. We hypothesize that condition of recruits should increase when recruitment failures are caused by fishing activity. This would be a consequence of the increase in trophic resource availability, because the population is smaller than that which the ecosystem could support. Temporal series of hake recruit condition were calculated from MEDITS survey data collected in Mediterranean geographical sub-areas (GSAs) 1, 6, 17 and 19 from 1994 to 2015. Multiple linear regressions were used to analyse the relationship between mean annual condition and abundance of recruits and climatic indices in each GSA. Significant correlations were only detected in GSA 6, where 69% of condition variability was explained by the negative correlation with recruit abundance, and with two climatic indices, the Western Mediterranean Oscillation and the standardized air temperature anomaly at surface from the Gulf of Lions. Despite the differences in recruit abundance among GSAs, their mean annual condition oscillated around the same basal value during most of the time series, pointing to density-dependent mortality rates as an important mechanism stabilizing hake recruitment to levels close to the carrying capacity when populations do not suffer recruitment overfishing. This pattern changed when the decreasing recruit abundance trend drove GSA 6 condition values persistently above those of the rest of the GSAs. According to our hypothesis, hake in GSA 6 is in recruitment overfishing. © 2019 CSIC.",English,Article,"All Open Access, Gold, Green",Scopus,K,Mediterranean - CS,"1,000-5,000",multidecadal,Oct-50,year,Regular Fisheries Independent Survey,simple time-series (regression analysis),2,2,3,"condition variability was explained by the negative correlation with recruit abundance, and with two climatic indices, the Western Mediterranean Oscillation and the standardized air temperature anomaly at surface",NA,Merluccius merluccius,juveniles,Climate,Growth,condition factor vs climate index (correlations),No response,Small,non-significant negative relationships were founds,CLIMATE & OCEANOGRAPHY
1437,m3_sco.84,NA,"Ferrer-Maza D., Muñoz M., Lloret J., Faliex E., Vila S., Sasal P.","Health and reproduction of red mullet, Mullus barbatus, in the western Mediterranean Sea",2015,Hydrobiologia,753,1,189,204,10.1007/s10750-015-2205-5,NA,"The reproductive and general health of exploited fish stocks is an essential element of sustainable and profitable fisheries. The main purpose of this study was to assess the relationships between reproduction and two important parameters of fish health (parasitism and energy reserves) in female specimens of red mullet, Mullus barbatus, from the western Mediterranean Sea. We present new data for this species on (i) the prevalence and intensity of infection by metazoan parasites; (ii) the total lipid content in muscle and gonads as a measure of condition and (iii) fecundity and egg quality as a measure of their reproductive capacity. The results show that M. barbatus is a batch spawner with an income breeding strategy, an asynchronous development of oocytes and indeterminate fecundity. The results also indicate that the three most abundant and prevalent parasites significantly affect the condition and reproduction of M. barbatus. Specifically, the digenean, Opecoeloides furcatus, causes a reduction in the female’s energy reserves, while the nematodes, Hysterothylacium fabri and H. aduncum, produce a rise in egg production but impair egg quality. These implications of the relationships between parasitism, fish health and fish reproduction should be taken into consideration in the assessment and management of exploited species. © 2015, Springer International Publishing Switzerland.",English,Article,"All Open Access, Green",Scopus,K,Mediterranean - non CS,100-500,two year,5-Oct,quarter,Regular Fisheries Independent Survey,using Mann-Whitney U test to test  if somatic condition and reproduction measures differ between infested and uninfested fish,2,2,3,"These implications of the relationships between parasitism, fish health and fish reproduction should be taken into consideration in the assessment and management of exploited species",NA,Mullus barbatus,adults,Parasite,Reproduction,somatic condition index and oocyte development metrics,Mixed response,Medium,NA,BIOTIC
1438,m3_sco.93,NA,"Ligas A., Colloca F., Lundy M.G., Mannini A., Sartor P., Sbrana M., Voliani A., Belcari P.",Modeling the growth of recruits of European hake (Merluccius merluccius) in the northwestern Mediterranean Sea with generalized additive models,2015,Fishery Bulletin,113,1,69,81,10.7755/FB.113.1.7,NA,"In this study, the growth pattern of juvenile European hake (Merluccius merluccius) was analyzed in relation to oceanographic and ecological factors in the Ligurian Sea and northern Tyrrhenian Sea, both part of the Mediterranean Sea. The ages of juvenile European hake, collected during a trawl survey in June 2011, were estimated by reading otolith daily growth rings. The growth pattern (length–age relationship) of juvenile European hake recruited to the population (&lt;1 year old) was analyzed by fitting a multivariate generalized additive model with explanatory variables: depth, bottom temperature, sea-surface temperature, scalar wind speed, chlorophyll-a concentration, and fish density (number of individuals per square kilometer). A significant effect of density on the length–age relationship was found, and an increased growth rate at densities &gt;3000 individuals km-2. This observed positive effect of density on growth could be argued to be a consequence of favorable environmental conditions, such as food availability and temperature, where both fish density and growth are maximized. Conversely, areas of lower density correspond to habitats of low suitability, where growth is impaired. © 2015 Fishery Bulletin. All rights reserved.",English,Article,"All Open Access, Bronze",Scopus,K,Mediterranean - non CS,100-500,month,5-Oct,subday,Regular Fisheries Independent Survey,GAM with length-at-age relationship verses densities and environmental variables,2,2,3,"Therefore, a deeper understanding of the importance of the quality of recruitment habitats (i.e., nurseries) on the growth and the survival of juveniles of European hake is a challenging task that could be relevant for conservation purposes (e.g., protection of nurserygrounds) ",NA,Merluccius merluccius,juveniles,Density dependence,Growth,length-at-age relationship,Overall positive response,Medium,they argue that the positive efftect between density and growth is because they aggregate where environmental conditions are optimal,COMPETITION & DENSITY DEPENDENCE
1439,n3_sco.101,NA,"Regnier T., Gibb F.M., Wright P.J.",Importance of trophic mismatch in a winterhatching species: Evidence from lesser sandeel,2017,Marine Ecology Progress Series,567,,185,197,10.3354/meps12061,NA,"Understanding the mechanisms responsible for variability in fish recruitment can improve our ability to predict the response of marine species to environmental change. The synchrony between fish hatching and zooplankton productivity is widely considered to be a major driver in recruitment failure, but studies considering variability in the phenology of both predator and prey are scarce. Using otolith microstructure and a time series of predator and prey abundance, we studied the influence of the mismatch between fish hatching and the timing of egg production in 2 copepod prey species on recruitment variability in lesser sandeel Ammodytes marinus, a key trophic link in the North Sea. We found that year-class strength is established during early larval development in sandeel, and depends on the degree of synchrony between hatching and Calanus helgolandicus egg production. Therefore, this study identifies the critical life stage at which year-class strength is established and provides empirical support for the mismatch hypothesis in a key forage fish. © 2017 Inter-Research.",English,Article,,Scopus,K,North Sea - CS,50-100,five year,5-Oct,year,Regular Fisheries Independent Survey,"Relating timing of egg hatching, year-class strength and copepod abundance, correlations",2,2,3,Further research is now needed to understand the causes of variations in sandeel hatch date in order to anticipate the potential consequences of this mismatch at the scale of the North Sea ecosystem,NA,Ammodytes,"early life stages (eggs, larvae)",Plankton,Reproduction,timing of haching related to food availability and related to year-class strength,Overall negative response,Medium,mismtach between hatching and food availability results in poor year-class strength,FOOD
1440,n3_sco.104,NA,"Meyer J., Kröncke I., Bartholomä A., Dippner J.W., Schückel U.",Long-term changes in species composition of demersal fish and epibenthic species in the Jade area (German Wadden Sea/Southern North Sea) since 1972,2016,"Estuarine, Coastal and Shelf Science",181,,284,293,10.1016/j.ecss.2016.08.047,NA,"Within this long-term study, the short- and long-term variability of demersal fish and epibenthic species in relation to temperature and climate-driven environmental changes in the inshore tidal bay system of the Jade area was investigated. Semiquantitative sampling took place once per spring and summer period from 1972 to 2014 by using a 2 m beam trawl at one station in the Jade area (German Wadden Sea/southern North Sea). Min/max autocorrelation analysis (MAFA) and Mann-Kendall analysis revealed significant increasing trends in total abundance and species number. Homogeneity analysis revealed shifts for abundance in spring and summer in the late 1980s and for species number in the late 1980s in spring and early 2000s in summer. Abundances of the estuarine crustacean species Carcinus maenas and Liocarcinus holsatus and of the estuarine fish species Pomatoschistus spp. showed significant increasing abundances since the late 1980s. The marine juvenile species Pleuronectes platessa and Limanda limanda showed significant decreasing abundances, while abundances of Solea solea showed significant increasing abundances since the early 2000s. Abundances of L. holsatus and C. maenas showed mass occurrences since the early 2000s. Spearman correlation analysis revealed significant correlations of temperature and abundance data of some characteristic species. Statistical downscaling analysis revealed significant correlations between observations and climate indicators such as the North Sea Environmental (NSE) Index for spring. Thus, it appears that climate effects influenced the long-term variability of species number and abundance of epibenthic and demersal fish species in the Jade area, resulting in community shifts in the late 1980s and early 2000s. © 2016 Elsevier Ltd",English,Article,,Scopus,K,North Sea - CS,0-5,multidecadal,0-5,half year,Regular Fisheries Independent Survey,Correlation analysis,2,2,3,"It appears that climate effects influenced the long-term variability of species number and abundance of epibenthic and demersal fish species in the Jade area, resulting in community shifts in the late 1980s and early 2000s",NA,Pleuronectes platessa,juveniles,Temperature,Abundance,Abundance vs. SST,Overall negative response,Medium,NA,TEMPERATURE
1441,n3_sco.104,NA,"Meyer J., Kröncke I., Bartholomä A., Dippner J.W., Schückel U.",Long-term changes in species composition of demersal fish and epibenthic species in the Jade area (German Wadden Sea/Southern North Sea) since 1972,2016,"Estuarine, Coastal and Shelf Science",181,,284,293,10.1016/j.ecss.2016.08.047,NA,"Within this long-term study, the short- and long-term variability of demersal fish and epibenthic species in relation to temperature and climate-driven environmental changes in the inshore tidal bay system of the Jade area was investigated. Semiquantitative sampling took place once per spring and summer period from 1972 to 2014 by using a 2 m beam trawl at one station in the Jade area (German Wadden Sea/southern North Sea). Min/max autocorrelation analysis (MAFA) and Mann-Kendall analysis revealed significant increasing trends in total abundance and species number. Homogeneity analysis revealed shifts for abundance in spring and summer in the late 1980s and for species number in the late 1980s in spring and early 2000s in summer. Abundances of the estuarine crustacean species Carcinus maenas and Liocarcinus holsatus and of the estuarine fish species Pomatoschistus spp. showed significant increasing abundances since the late 1980s. The marine juvenile species Pleuronectes platessa and Limanda limanda showed significant decreasing abundances, while abundances of Solea solea showed significant increasing abundances since the early 2000s. Abundances of L. holsatus and C. maenas showed mass occurrences since the early 2000s. Spearman correlation analysis revealed significant correlations of temperature and abundance data of some characteristic species. Statistical downscaling analysis revealed significant correlations between observations and climate indicators such as the North Sea Environmental (NSE) Index for spring. Thus, it appears that climate effects influenced the long-term variability of species number and abundance of epibenthic and demersal fish species in the Jade area, resulting in community shifts in the late 1980s and early 2000s. © 2016 Elsevier Ltd",English,Article,,Scopus,K,North Sea - CS,0-5,multidecadal,0-5,half year,Regular Fisheries Independent Survey,Correlation analysis,2,2,3,"It appears that climate effects influenced the long-term variability of species number and abundance of epibenthic and demersal fish species in the Jade area, resulting in community shifts in the late 1980s and early 2000s",the study above was about more than one species therefore the additional rows,Gadus morhua,juveniles,Temperature,Abundance,Abundance vs. SST,Overall negative response,Medium,NA,TEMPERATURE
1442,n3_sco.104,NA,"Meyer J., Kröncke I., Bartholomä A., Dippner J.W., Schückel U.",Long-term changes in species composition of demersal fish and epibenthic species in the Jade area (German Wadden Sea/Southern North Sea) since 1972,2016,"Estuarine, Coastal and Shelf Science",181,,284,293,10.1016/j.ecss.2016.08.047,NA,"Within this long-term study, the short- and long-term variability of demersal fish and epibenthic species in relation to temperature and climate-driven environmental changes in the inshore tidal bay system of the Jade area was investigated. Semiquantitative sampling took place once per spring and summer period from 1972 to 2014 by using a 2 m beam trawl at one station in the Jade area (German Wadden Sea/southern North Sea). Min/max autocorrelation analysis (MAFA) and Mann-Kendall analysis revealed significant increasing trends in total abundance and species number. Homogeneity analysis revealed shifts for abundance in spring and summer in the late 1980s and for species number in the late 1980s in spring and early 2000s in summer. Abundances of the estuarine crustacean species Carcinus maenas and Liocarcinus holsatus and of the estuarine fish species Pomatoschistus spp. showed significant increasing abundances since the late 1980s. The marine juvenile species Pleuronectes platessa and Limanda limanda showed significant decreasing abundances, while abundances of Solea solea showed significant increasing abundances since the early 2000s. Abundances of L. holsatus and C. maenas showed mass occurrences since the early 2000s. Spearman correlation analysis revealed significant correlations of temperature and abundance data of some characteristic species. Statistical downscaling analysis revealed significant correlations between observations and climate indicators such as the North Sea Environmental (NSE) Index for spring. Thus, it appears that climate effects influenced the long-term variability of species number and abundance of epibenthic and demersal fish species in the Jade area, resulting in community shifts in the late 1980s and early 2000s. © 2016 Elsevier Ltd",English,Article,,Scopus,K,North Sea - CS,0-5,multidecadal,0-5,half year,Regular Fisheries Independent Survey,Correlation analysis,2,2,3,"It appears that climate effects influenced the long-term variability of species number and abundance of epibenthic and demersal fish species in the Jade area, resulting in community shifts in the late 1980s and early 2000s",the study above was about more than one species therefore the additional rows,Solea solea,juveniles,Temperature,Abundance,Abundance vs. SST,Overall positive response,Medium,NA,TEMPERATURE
1443,n3_sco.108,NA,"Hüssy K., Andersen N.G., Pedersen E.M.","The influence of feeding behaviour on growth of Atlantic cod (Gadus morhua, Linnaeus, 1758) in the North Sea",2016,Journal of Applied Ichthyology,32,5,928,937,10.1111/jai.13160,NA,"The objective of this study was to resolve key mechanisms driving individual growth patterns of Atlantic cod (Gadus morhua). Growth dynamics were analysed by linking growth patterns with stomach content composition and environmental temperature. Samples were collected in August/September of the years 2009, 2010 and 2011 in the north-eastern part of the central North Sea. Prey selection was assessed by identification of individual prey items in the stomach content to species. Ten feeding groups were identified consisting of individuals with one prey type dominating their stomach contents (≥75% by mass), of which six were used for growth analyses: “Sandeel”, “Clupeids”, “Norway pout”, “Flatfishes”, “Crustaceans” and “Brittle stars”. For each group, growth patterns were estimated based on measures of otolith growth increments. The stomach contents showed that cod as a species are opportunistic in their prey selection, but at the same time indicated that the total, broad feeding niche width of the population is dominated by individual diet specialization and that many individuals temporally show a preference for a particular prey type. The contribution of invertebrates and particularly crustaceans decreased with increasing cod size, whereas that of fish and predominantly herring increased. Prey type had a significant effect on growth, while temperature had no effect. Slowest growth was observed in the cod group preying on sandeel, while cod preying on Norway pout showed the fastest growth. No significant difference was observed between groups preying on brittle stars, crustaceans, flatfishes and herring. Growth in the year before capture did however not differ between any of these groups. Across sampling years, growth chronology patterns were similar but not significantly influenced by temperature. © 2016 Blackwell Verlag GmbH",English,Article,,Scopus,K,North Sea - CS,50-100,two year,5-Oct,year,Irregular Fisheries Independent Survey,GLM using growth as dependent varioable and feeding group as independent variable,2,2,3,"The fact that prey group related differences in growth did not exist in the year before capture indicates that the observed specialisation may not persist across years, presumably owing to the ability of cod to exploit such short- term feeding opportunities",NA,Gadus morhua,adults,Prey availability,Growth,Growth estimated based on otolith and compared to diet,Mixed response,Medium,they showed positiv effect for some prey groups and negative for others,FOOD
1444,n3_sco.180,NA,"Van Deurs M., Koski M., Rindorf A.",Does copepod size determine food consumption of particulate feeding fish?,2014,ICES Journal of Marine Science,71,1,35,43,10.1093/icesjms/fst090,NA,"The climate-induced reduction in the mean copepod size, mainly driven by a decrease in the abundance of the large Calanus finmarchicus around 1987, has been linked to the low survival of fish larvae in the North Sea. However, to what extent this sort of reduction in copepod size has any influence on adult particulate feeding fish is unknown. In the present study, we investigated the hypothesis that the availability of the large copepods determines food consumption and growth conditions of lesser sandeel (Ammodytes marinus) in the North Sea. Analysis of stomach content suggested that food consumption is higher for fish feeding on large copepods, and additional calculations revealed how handling time limitation may provide part of the explanation for this relationship. Comparing stomach data and zooplankton samples indicated that lesser sandeel actively target large copepods when these are available. Finally, we observed that the length of lesser sandeel began to decrease in the late 1980s, simultaneously with the C. finmarchicus decline. © 2013 International Council for the Exploration of the Sea. Published by Oxford University Press. All rights reserved.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,100-500,five year,Oct-50,NA,Fisheries Dependent Data,Linear mixed effect model with consumption rate as the dependent variable and copepod size as independent,2,2,3,"Overall, we found no strong arguments for rejecting the hypothesis that climate driven reductions in copepod size will lead to diminished growth rates of lesser sandeel.",NA,Ammodytes,adults,Plankton,Other,Consumption rate vs. Copepod size,Overall positive response,Medium,NA,FOOD
1446,n3_sco.235,NA,"Heath M.R., Rasmussen J., Bailey M.C., Dunn J., Fraser J., Gallego A., Hay S.J., Inglis M., Robinson S.",Larval mortality rates and population dynamics of Lesser Sandeel (Ammodytes marinus) in the northwestern North Sea,2012,Journal of Marine Systems,93,,47,57,10.1016/j.jmarsys.2011.08.010,NA,"Intense fishing of a stock of sandeels (Ammodytes marinus) on the sand banks off the Firth of Forth, northeast Scotland, during the 1990s led to a decline in catch per unit effort to uneconomic levels and collateral failures of piscivorous seabird breeding success at nearby colonies. A prohibition on fishing in 1999 was followed by a short-term recovery of stock biomass, but then a sustained decline to very low levels of abundance. Demographic survey data show that despite the decline in stock, recruit abundance was maintained implying an increasing larval survival rate, and that the stock decline was not due to recruitment failure. To verify this hypothesis we analysed a 10-year long data set of weekly catches of sandeel larvae at a nearby plankton monitoring site to determine the patterns of larval mortality and dispersal. We found that the loss rate of larvae up to 20. d age decreased over time, corresponding with the trend in survival rate implied by the stock demography data. The pattern of loss rate in relation to hatchling abundance implied that mortality may have been density dependent. Our study rules out increased larval mortality as the primary cause of decline in the sandeel stock. © 2011 Elsevier B.V.",English,Article,,Scopus,K,North Sea - CS,0-5,decade,0-5,NA,Irregular Fisheries Independent Survey,"loss rates as dependent variable in a GAM with hatch data as independent variable, which in tuern was related to abundance",2,2,3,Our results show that the loss rate of early stage larvae off Stonehaven declined over the study period in a manner which was correlated with the annual mortality rate implied by the population demography data from the Banks.,NA,Ammodytes,"early life stages (eggs, larvae)",Density dependence,Growth,loss rate post hatching and larvae abundance,Overall negative response,Medium,NA,COMPETITION & DENSITY DEPENDENCE
1448,n3_sco.314,NA,"Van Deur M., Van Hal R., Tomczak M.T., Jónasdóttir S.H.",Recruitment of lesser sandeel Ammodytes marinus in relation to density dependence and zooplankton composition,2009,Marine Ecology Progress Series,381,,249,258,10.3354/meps07960,NA,"Recent recruitment failure of lesser sandeel Ammodytes marinus, a key prey fish in the North Sea, followed by several years of low spawning stock biomass, prompted us to investigate factors influencing the recruitment of this species. We tested 2 hypotheses that relate to ecological mechanisms of recruitment regulation in lesser sandeel: (1) a positive spawning stock-recruitment relationship is decoupled in years associated with high abundances of age-1 sandeels and (2) the survival success of early larvae depends specifically on the abundance of Calanus finmarchicus and not C. helgolandicus. The findings of the present study supported both hypotheses and resulted in a multiple linear recruitment model with pronounced predictive capabilities. The model includes interactions between age-1 abundance and spawning stock biomass, plus the effect of C. finmarchicus abundance, and it explained around 65% of the inter-annual variation in recruitment in contrast to only 12% by a traditional Ricker curve. We argue that early egg production in C. finmarchicus supports the survival of larvae, and that climate-generated shifts in the Calanus species composition lead to a mismatch in timing between food availability and the early life history of lesser sandeels. © 2009 Inter-Research.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,100-500,multidecadal,NA,NA,NA,simple liniar models for correlation analysis using. i.e. correlating copepods to residuals from stock recruitment relationship,2,2,3,"We argue that early egg production in C. finmarchicus supports the survival of larvae, and that climate-generated shifts in the Calanus species compoition lead to a mismatch in timing between food availability and the early life history of lesser sandeels",None of the categories in X matched. Stock assessment output and plankton sampling using the continous plankton recorder was used,Ammodytes,adults,Plankton,Reproduction,Recruitment and ratio between two copepod species,Overall positive response,Medium,NA,FOOD
1449,n3_sco.314,NA,"Van Deur M., Van Hal R., Tomczak M.T., Jónasdóttir S.H.",Recruitment of lesser sandeel Ammodytes marinus in relation to density dependence and zooplankton composition,2009,Marine Ecology Progress Series,381,,249,258,10.3354/meps07960,NA,"Recent recruitment failure of lesser sandeel Ammodytes marinus, a key prey fish in the North Sea, followed by several years of low spawning stock biomass, prompted us to investigate factors influencing the recruitment of this species. We tested 2 hypotheses that relate to ecological mechanisms of recruitment regulation in lesser sandeel: (1) a positive spawning stock-recruitment relationship is decoupled in years associated with high abundances of age-1 sandeels and (2) the survival success of early larvae depends specifically on the abundance of Calanus finmarchicus and not C. helgolandicus. The findings of the present study supported both hypotheses and resulted in a multiple linear recruitment model with pronounced predictive capabilities. The model includes interactions between age-1 abundance and spawning stock biomass, plus the effect of C. finmarchicus abundance, and it explained around 65% of the inter-annual variation in recruitment in contrast to only 12% by a traditional Ricker curve. We argue that early egg production in C. finmarchicus supports the survival of larvae, and that climate-generated shifts in the Calanus species composition lead to a mismatch in timing between food availability and the early life history of lesser sandeels. © 2009 Inter-Research.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,100-500,multidecadal,NA,NA,NA,simple liniar models for correlation analysis using. i.e. correlating copepods to residuals from stock recruitment relationship,2,2,3,"We argue that early egg production in C. finmarchicus supports the survival of larvae, and that climate-generated shifts in the Calanus species compoition lead to a mismatch in timing between food availability and the early life history of lesser sandeels",the study above was about more than one driver therefore the additional rows,Ammodytes,adults,Density dependence,Reproduction,Recruitment and stock biomass,Overall negative response,Medium,NA,COMPETITION & DENSITY DEPENDENCE
1454,n3_sco.434,NA,"Nash R.D.M., Dickey-Collas M.",The influence of life history dynamics and environment on the determination of year class strength in North Sea herring (Clupea harengus L.),2005,Fisheries Oceanography,14,4,279,291,10.1111/j.1365-2419.2005.00336.x,NA,"The inter-annual variability in year class strength (1976-2000) of North Sea herring (Clupea harengus) was investigated using Paulik diagrams based on survey data and Virtual Population Analysis. The herring life cycle was split into five stages: spawning stock biomass (SSB), egg production, larvae, fish with 0 winter rings on the otolith (0-wr), 1-wr and 2-wr. Surveys were used as indices and Paulik analysis revealed relationships between stages. In 80% of the years, year class strength reflected SSB. Poorer than expected year classes were determined during the larva to 0-wr phase, whilst stronger than expected year classes were apparently determined during the 0-wr to 1-wr stage. There was no clear relationship between survival of young stages of herring and the abundance of Calanus finmarchicus but the year class strength of 0-wr and 1-wr had a negative relationship to bottom water temperature. Lower sea water temperatures in the North Sea are associated with higher Calanus abundance. The analysis shows that the strength of aberrant year classes of North Sea herring is determined between the pelagic larval and the juvenile stages. © 2005 Blackwell Publishing Ltd.",English,Article,,Scopus,K,North Sea - CS,"500-1,000",multidecadal,NA,year,NA,Paulik diagram is a central element of the analysis,2,2,3,There  was  no  clear  relationship  between  survival  of young stages of herring and the abundance of Calanusfinmarchicus but  the  year  class  strength  of  0-wr  and 1-wr  had  a  negative  relationship  to  bottom  watertemperature.,"They use several different data sources from VPA output, to MIK samples and CPR-plankton data, so I did not specify anything in X",Clupea harengus,juveniles,Temperature,Abundance,Cohort strength,Overall negative response,Medium,NA,TEMPERATURE
